Time (s),Reamaining Atoms
0,1000.0
1,904.8374180359596
2,818.7307530779818
3,740.8182206817179
4,670.3200460356393
5,606.5306597126335
6,548.8116360940264
7,496.58530379140944
8,449.3289641172216
9,406.5696597405991
10,367.87944117144235
11,332.87108369807953
12,301.19421191220204
13,272.5317930340126
14,246.59696394160645
15,223.1301601484298
16,201.8965179946554
17,182.6835240527346
18,165.29888822158654
19,149.56861922263502
20,135.3352832366127
21,122.45642825298191
22,110.80315836233387
23,100.2588437228037
24,90.71795328941246
25,82.0849986238988
26,74.27357821433388
27,67.20551273974975
28,60.81006262521795
29,55.02322005640721
30,49.787068367863945
31,45.0492023935578
32,40.76220397836621
33,36.883167401239994
34,33.37326996032606
35,30.197383422318502
36,27.32372244729256
37,24.723526470339387
38,22.37077185616559
39,20.24191144580438
40,18.315638888734178
41,16.572675401761238
42,14.995576820477703
43,13.568559012200934
44,12.277339903068436
45,11.108996538242305
46,10.051835744633575
47,9.095277101695816
48,8.229747049020023
49,7.446583070924338
50,6.737946999085467
